#!/bin/bash
# for file in [1,2]*;do arr=(${file//_/ }); echo $arr; done
# Lane 4073
4073_A	S26-3
35513	M_sma-Oua-0
35512	M_r-Ket-10
29308	H25-3
29307	H8-1
29306	H5-1
29305	C26-1
29304	C14-1
29303	H23-1
# 29302	H1-1-aborted
29301	G102-2
29300	C17-7
29299	C16-1
29298	C12-5
29297	C5-1
29296	C1-5
29295	C11-2
29294	C8-5
29293	G105-1
29292	G106-1
29291	H18-4
29290	H14-3
29289	H12-3
29288	H6-3
29287	G107-3
29286	C24-1
29285	C9-3
#29284	C6-8-onHold
#29283	H17-9-onHold
#29282	T102-2-onHold
#29281	H10-3-onHold
#29280	C25-7-onHold
#29279	F7-B12-onHold
#29278	F7-B2-onHold
#29277	S7-B12-onHold
#29276	S7-B2-onHold
28595	C23-1
28594	C20-3
#27185	S11-19-onHold
#27184	S4-C8-dwarf-onHold
#27183	S11-57-onHold
27182	S11-41
27181	S11-36
27180	S11-9
27179	S7-T2
27178	S4-C4-dwarf
27177	S4-B3-14
27176	S11-58
27175	S11-45
27174	S11-35
27173	F7-T14
27172	S7-B20
27171	F7-B8
27170	S11-48
27169	S11-33
27168	S11-4
27167	F7-T5
27166	F7-R3
27165	S7-B11
27164	F3-1
27163	S18-5
27162	S11-62
27161	S11-61
27160	S11-54
27159	S11-47
27158	S10-12
27157	S4-C2-dwarf
27156	F12-7
27155	F5-7S1
27154	A-MA-40637
27153	A-MA-40636
27152	A-MA-40634
27151	A-MA-40633
27150	A-MA-40632
27149	A-MA-40631
22644	F9-3
22643	S18-4
22642	S11-102
22641	S15-14
22640	F13-3
22639	S18-1
22638	A-Are2
22637	S10-102
22636	S15-8
22635	F5-SS1
22634	S15-7
22633	S19-1
22632	S5-101
22631	S15-1
22630	S18-3
22629	S7-B108
22628	S10-100
22627	S17-2
22626	S8-B100
22625	F5-7-4
22624	S5-100
22623	S11-103
22622	S15-6
22621	F5-7-3
22620	S11-101
22619	S10-105
22618	S5-102
22617	S7-T100
22616	S15-13
22615	S1-100
22614	F3-SS2
22613	F11-100
22612	F10-101
22611	F11-105
22610	F11-10
22609	S15-15
22022	A-M3-1	suspiciousLane
22021	T2-2	suspiciousLane
#22020	S11-60-containated	suspiciousLane
22019	A-M4-1	suspiciousLane
22018	S4-B5-10-dwarf	suspiciousLane
22017	A-M2-1	suspiciousLane
22016	F16-2-first	suspiciousLane
22015	F16-10	suspiciousLane
22014	F16-2-second	suspiciousLane
22013	S15-5	suspiciousLane
#22012	contaminated_M_sma-Oua0	suspiciousLane
22011	M_nma-Tiz0	suspiciousLane
22010	M_ha-Ait14
22009	M_ha-Set0
22008	M_r-Bab0
22007	M_r-Bbe0
22006	M_sma-Agl0
22005	M_nma-Taz0
22004	M_sma-Khe0
22003	M_ha-Ait9
22002	M_sma-IFr0
22001	M_nma-Bba0
22000	M_nma-Meh0
21999	M_r-Ket10
21230	F10-1-4
21229	F13-6
21228	F10-1-3
21227	F10-4-3
21226	F13-8
21225	F9-2
#21224	F10-5-aborted
#21223	F10-5-2-aborted
20687	S19-2
20686	S16-5
20685	S16-8
20684	S16-7
20683	S18-2
20682	S15-3
20681	S15-2
#20680	S17-1-aborted
# Viktoria's in sequencing website:
18516	M_ha-Elh27
18515	M_r-Zin9
18514	M_sma-Azr0
18513	M_ha-Arb0
18512	M_sma-Elk1
18511	M_ha-Elh20
18510	M_sma-Til2
18509	M_nma-Tah0
16516	T15-1_exP15-1
16515	P10-1-1
16514	T16-1
16513	P15-1_exT15-1
16512	T13-1
16511	T10-1
16510	T4-3
16509	T1-1
16296	T3-1
16295	F5-8
16294	F3-3
16293	S11-20
16292	S8-B9
16152	S11-58
16151	S11-38
16150	S7-B15
15675	S11-63
15674	S11-14
15673	S10-16
15672	S10-5
15671	S10-29
15670	S9-1
15669	S7-T1
15668	S7-B10
15320	T12-1
15319	P14-1
15318	P13-5
15317	P13-1-1
15316	P9-1-1
15315	P8-1-1
15314	P7-1-1
15313	G1-1A
13585	S5-7-first
13584	F5-3
13583	S1-3
13582	S1-5
13581	S4-B2-9
13580	S4-B2-5
13579	S4-B5-9-dwarf
13578	S7-B-5
13577	F7-S10
13576	F7-6T
13575	F7-S1
13574	F7-7B
13573	F3-1
13572	F7-11T
13571	F7-S4
13187	F4-4
13186	F8-7
13185	S4-A3-dwarf
13184	F1-3
13183	S3-5
13182	F8-2
13181	F5-1
13180	F2-5
13179	S3-2
13178	S5-9
13177	S5-8
13176	S4-A13-dwarf
13175	S3-1
13174	S4-A14-dwarf
13173	S3-4
13172	S3-3
12915	F8-5
12914	S4-B16
12913	S4-A12-dwarf
12912	S3-12
12911	S3-11
12910	F7-19b
12909	F2-4
12908	A-Are6
12856	S4-A6-dwarf
12855	S4-A5-dwarf
12854	S4-A4-dwarf
#12853	S4-A3-dwarf-aborted
12852	S4-A2-dwarf
12851	S4-A1-dwarf
#12850	S3-10-badQ
12849	S3-9
12768	F8-6
12767	F7-4b
12766	S4-B2-4
12765	S5-7-second
12764	S4-A8-dwarf
12763	A-Are10
12762	A-Are7
12761	A-Are1
# Iberians
9817	IBP
9942	IBP
9819	IBP
9820	IBP
9821	IBP
9822	IBP
9823	IBP
9824	IBP
8264	IBP
9825	IBP
9826	IBP
9827	IBP
9828	IBP
9829	IBP
9830	IBP
6906	IBP
9831	IBP
9832	IBP
9943	IBP
9833	IBP
9834	IBP
9835	IBP
7077	IBP
7081	IBP
9836	IBP
9837	IBP
9838	IBP
9839	IBP
9840	IBP
9944	IBP
9841	IBP
9843	IBP
9844	IBP
9845	IBP
9846	IBP
9941	IBP
9847	IBP
9848	IBP
9849	IBP
9850	IBP
9851	IBP
9852	IBP
9513	IBP
9514	IBP
9515	IBP
9516	IBP
9517	IBP
9518	IBP
9506	IBP
9519	IBP
9520	IBP
9521	IBP
9522	IBP
9523	IBP
9524	IBP
9525	IBP
9526	IBP
9527	IBP
9528	IBP
9529	IBP
9530	IBP
9531	IBP
9532	IBP
9533	IBP
9534	IBP
9507	IBP
9535	IBP
9536	IBP
9537	IBP
9538	IBP
9539	IBP
9540	IBP
9541	IBP
9542	IBP
9543	IBP
9544	IBP
9545	IBP
9546	IBP
9547	IBP
9548	IBP
9549	IBP
9550	IBP
9551	IBP
9552	IBP
9553	IBP
9554	IBP
9555	IBP
9556	IBP
9557	IBP
9558	IBP
9559	IBP
9508	IBP
9560	IBP
9561	IBP
9562	IBP
9563	IBP
9564	IBP
9565	IBP
9566	IBP
9567	IBP
9568	IBP
9569	IBP
9570	IBP
9571	IBP
9572	IBP
9573	IBP
9509	IBP
9510	IBP
9574	IBP
9575	IBP
9576	IBP
9577	IBP
9578	IBP
9579	IBP
9580	IBP
9581	IBP
9582	IBP
9583	IBP
9584	IBP
9585	IBP
9586	IBP
9587	IBP
9588	IBP
9589	IBP
9590	IBP
9591	IBP
9592	IBP
9511	IBP
9593	IBP
9594	IBP
9595	IBP
9596	IBP
9512	IBP
9597	IBP
9598	IBP
9599	IBP
9600	IBP
9601	IBP
9602	IBP
9853	IBP
9854	IBP
9855	IBP
9856	IBP
9857	IBP
9945	IBP
6933	IBP
9858	IBP
9859	IBP
9860	IBP
9861	IBP
9862	IBP
9906	IBP
9864	IBP
9865	IBP
9866	IBP
9946	IBP
9867	IBP
9868	IBP
9869	IBP
9870	IBP
9871	IBP
9872	IBP
9873	IBP
9874	IBP
9875	IBP
9876	IBP
9877	IBP
9947	IBP
9878	IBP
9879	IBP
9880	IBP
9881	IBP
9882	IBP
9883	IBP
8357	IBP
9948	IBP
9885	IBP
8213	IBP
9886	IBP
9887	IBP
9888	IBP
9949	IBP
9890	IBP
9891	IBP
9892	IBP
9893	IBP
6961	IBP
9894	IBP
7327	IBP
7328	IBP
9895	IBP
9897	IBP
9898	IBP
9899	IBP
9900	IBP
6970	IBP
6971	IBP
9901	IBP
9902	IBP
9903	IBP
9904	IBP
9905	IBP
9950	IBP
